;x,z,nmann,xutm,yutm,AngMd,AngMi,Q
5100.000,-2.046,0.030,765098.423,4152750.581,-2.209,0.933,20.000
5150.000,-2.044,0.030,765138.579,4152720.792,-2.199,0.943,20.000
5200.000,-2.046,0.030,765179.039,4152691.416,-2.091,1.050,20.000
5250.000,-2.052,0.030,765222.062,4152666.763,-1.931,1.210,20.000
5300.000,-2.062,0.030,765268.847,4152649.125,-1.926,1.216,20.000
5350.000,-2.076,0.030,765315.725,4152631.734,-1.836,1.305,20.000
5400.000,-2.093,0.030,765363.891,4152618.630,-1.791,1.351,20.000
5450.000,-2.112,0.030,765412.687,4152607.725,-1.789,1.353,20.000
5500.000,-2.128,0.030,765461.506,4152596.921,-1.789,1.353,20.000
5550.000,-2.138,0.030,765510.325,4152586.118,-1.789,1.353,20.000
5600.000,-2.145,0.030,765559.143,4152575.314,-1.789,1.353,20.000
5650.000,-2.147,0.030,765607.962,4152564.510,-1.789,1.353,20.000
5700.000,-2.146,0.030,765656.781,4152553.707,-1.815,1.327,20.000
5750.000,-2.144,0.030,765705.283,4152541.632,-1.871,1.270,20.000
5800.000,-2.145,0.030,765753.031,4152526.846,-1.963,1.179,20.000
5850.000,-2.151,0.030,765799.180,4152507.754,-2.034,1.107,20.000
5900.000,-2.163,0.030,765843.894,4152485.401,-2.062,1.080,20.000
5950.000,-2.183,0.030,765887.982,4152461.818,-2.064,1.077,20.000
6000.000,-2.209,0.030,765932.019,4152438.137,-2.078,1.064,20.000
6050.000,-2.240,0.030,765975.710,4152413.869,-2.144,0.998,20.000
6100.000,-2.268,0.030,766017.728,4152386.770,-2.212,0.929,20.000
6150.000,-2.292,0.030,766057.669,4152356.936,-2.320,0.821,20.000
6200.000,-2.312,0.030,766094.275,4152322.880,-2.377,0.764,20.000
6250.000,-2.325,0.030,766128.842,4152286.810,-2.417,0.725,20.000
6300.000,-2.331,0.030,766161.988,4152249.376,-2.419,0.723,20.000
6350.000,-2.329,0.030,766195.053,4152211.870,-2.419,0.723,20.000
6400.000,-2.319,0.030,766228.118,4152174.364,-2.419,0.723,20.000
6450.000,-2.307,0.030,766261.183,4152136.858,-2.419,0.723,20.000
6500.000,-2.292,0.030,766294.248,4152099.352,-2.419,0.723,20.000
6550.000,-2.279,0.030,766327.313,4152061.846,-2.419,0.723,20.000
6600.000,-2.267,0.030,766360.378,4152024.340,-2.419,0.723,20.000
6650.000,-2.258,0.030,766393.443,4151986.834,-2.419,0.723,20.000
6700.000,-2.251,0.030,766426.508,4151949.327,-2.419,0.723,20.000
6750.000,-2.246,0.030,766459.573,4151911.821,-2.419,0.723,20.000
6800.000,-2.240,0.030,766492.638,4151874.315,-2.419,0.723,20.000
6850.000,-2.230,0.030,766525.703,4151836.809,-2.419,0.723,20.000
6900.000,-2.215,0.030,766558.768,4151799.303,-2.419,0.723,20.000
6950.000,-2.195,0.030,766591.833,4151761.797,-2.419,0.723,20.000
7000.000,-2.171,0.030,766624.898,4151724.291,-2.419,0.723,20.000
7050.000,-2.142,0.030,766657.963,4151686.785,-2.419,0.723,20.000
7100.000,-2.112,0.030,766691.028,4151649.279,-2.419,0.723,20.000
7150.000,-2.089,0.030,766724.093,4151611.773,-2.419,0.723,20.000
7200.000,-2.070,0.030,766757.158,4151574.267,-2.419,0.723,20.000
7250.000,-2.058,0.030,766790.223,4151536.761,-2.470,0.671,20.000
7300.000,-2.049,0.030,766821.311,4151497.618,-2.621,0.521,20.000
7350.000,-2.042,0.030,766846.174,4151454.279,-2.631,0.510,20.000
7400.000,-2.038,0.030,766870.604,4151410.654,-2.640,0.502,20.000
7450.000,-2.036,0.030,766894.654,4151366.825,-2.796,0.346,20.000
7500.000,-2.032,0.030,766911.320,4151320.554,-3.055,0.086,20.000
7550.000,-2.028,0.030,766915.632,4151270.740,-3.055,0.086,20.000
7600.000,-2.024,0.030,766919.944,4151220.927,-3.055,0.086,20.000
7650.000,-2.019,0.030,766924.256,4151171.113,2.953,-0.188,20.000
7700.000,-2.016,0.030,766915.036,4151122.702,2.812,-0.330,20.000
7750.000,-2.012,0.030,766898.834,4151075.408,2.804,-0.338,20.000
7800.000,-2.007,0.030,766882.264,4151028.233,2.768,-0.373,20.000
7850.000,-2.001,0.030,766864.118,4150981.889,2.479,-0.663,20.000
7900.000,-1.992,0.030,766833.395,4150942.538,2.380,-0.762,20.000
7950.000,-1.979,0.030,766798.880,4150906.362,2.380,-0.762,20.000
8000.000,-1.963,0.030,766764.364,4150870.186,2.324,-0.817,20.000
8050.000,-1.943,0.030,766727.951,4150836.020,2.207,-0.934,20.000
8100.000,-1.919,0.030,766687.791,4150806.349,2.168,-0.974,20.000
8150.000,-1.890,0.030,766646.434,4150778.248,2.168,-0.974,20.000
8200.000,-1.858,0.030,766605.077,4150750.148,2.168,-0.974,20.000
8250.000,-1.821,0.030,766563.721,4150722.048,2.168,-0.974,20.000
8300.000,-1.782,0.030,766522.364,4150693.947,2.168,-0.974,20.000
8350.000,-1.754,0.030,766481.008,4150665.847,2.168,-0.974,20.000
8400.000,-1.735,0.030,766439.651,4150637.747,2.168,-0.974,20.000
8450.000,-1.727,0.030,766398.294,4150609.646,2.141,-1.001,20.000
8500.000,-1.729,0.030,766356.208,4150582.683,2.103,-1.039,20.000
8550.000,-1.741,0.030,766313.116,4150557.329,2.095,-1.047,20.000
8600.000,-1.763,0.030,766269.822,4150532.317,2.095,-1.047,20.000
8650.000,-1.792,0.030,766226.527,4150507.305,2.095,-1.047,20.000
8700.000,-1.824,0.030,766183.233,4150482.292,2.081,-1.061,20.000
8750.000,-1.858,0.030,766139.635,4150457.897,1.960,-1.181,20.000
8800.000,-1.894,0.030,766093.379,4150438.915,1.949,-1.193,20.000
8850.000,-1.933,0.030,766046.909,4150420.460,1.949,-1.193,20.000
8900.000,-1.974,0.030,766000.440,4150402.006,1.949,-1.193,20.000
8950.000,-2.021,0.030,765953.970,4150383.551,1.941,-1.200,20.000
9000.000,-2.073,0.030,765907.366,4150365.443,1.844,-1.298,20.000
9050.000,-2.131,0.030,765859.307,4150351.991,1.803,-1.339,20.000
9100.000,-2.192,0.030,765810.649,4150340.486,1.803,-1.339,20.000
9150.000,-2.257,0.030,765761.990,4150328.981,1.803,-1.339,20.000
9200.000,-2.326,0.030,765713.332,4150317.476,1.796,-1.346,20.000
9250.000,-2.398,0.030,765664.597,4150306.325,1.733,-1.408,20.000
9300.000,-2.474,0.030,765615.314,4150298.239,1.657,-1.484,20.000
9350.000,-2.550,0.030,765565.500,4150293.928,1.657,-1.484,20.000
9400.000,-2.620,0.030,765515.686,4150289.617,1.657,-1.484,20.000
9450.000,-2.682,0.030,765465.872,4150285.306,1.657,-1.484,20.000
9500.000,-2.736,0.030,765416.059,4150280.995,1.632,-1.510,20.000
9550.000,-2.783,0.030,765366.156,4150277.961,1.589,-1.552,20.000
9600.000,-2.823,0.030,765316.168,4150277.038,1.584,-1.557,20.000
9650.000,-2.855,0.030,765266.173,4150276.368,1.584,-1.557,20.000
9700.000,-2.880,0.030,765216.177,4150275.698,1.584,-1.557,20.000
9750.000,-2.905,0.030,765166.182,4150275.028,1.584,-1.557,20.000
