;time, elevation
1465200.000, 0.100
1468800.000, -0.010
1472400.000, -0.050
1476000.000, -0.080
1479600.000, -0.080
1483200.000, -0.080
1486800.000, -0.070
1490400.000, -0.060
1494000.000, -0.030
1497600.000, 0.010
1501200.000, 0.050
1504800.000, 0.070
1508400.000, 0.070
1512000.000, 0.050
1515600.000, 0.020
1519200.000, -0.010
1522800.000, -0.020
1526400.000, -0.020
1530000.000, -0.020
1533600.000, -0.010
1537200.000, 0.000
1540800.000, 0.030
1544400.000, 0.060
1548000.000, 0.080
1551600.000, 0.070
1555200.000, 0.040
1558800.000, -0.010
1562400.000, -0.050
1566000.000, -0.080
1569600.000, -0.100
1573200.000, -0.100
1576800.000, -0.090
1580400.000, -0.060
1584000.000, -0.020
1587600.000, 0.030
1591200.000, 0.070
1594800.000, 0.100
1598400.000, 0.090
1602000.000, 0.060
1605600.000, 0.020
1609200.000, -0.020
1612800.000, -0.040
1616400.000, -0.050
1620000.000, -0.050
1623600.000, -0.030
1627200.000, -0.000
1630800.000, 0.040
1634400.000, 0.080
1638000.000, 0.100
1641600.000, 0.090
1645200.000, 0.050
1648800.000, -0.010
1652400.000, -0.060
1656000.000, -0.100
1659600.000, -0.120
1663200.000, -0.120
1666800.000, -0.090
1670400.000, -0.060
1674000.000, -0.000
1677600.000, 0.060
1681200.000, 0.110
1684800.000, 0.130
1688400.000, 0.110
1692000.000, 0.050
1695600.000, -0.000
1699200.000, -0.050
1702800.000, -0.080
1706400.000, -0.080
1710000.000, -0.070
1713600.000, -0.040
1717200.000, 0.010
1720800.000, 0.060
1724400.000, 0.110
1728000.000, 0.130
1731600.000, 0.110
1735200.000, 0.050
1738800.000, -0.030
1742400.000, -0.090
1746000.000, -0.130
1749600.000, -0.140
1753200.000, -0.130
1756800.000, -0.090
1760400.000, -0.030
1764000.000, 0.040
1767600.000, 0.110
1771200.000, 0.150
1774800.000, 0.150
1778400.000, 0.100
1782000.000, 0.030
1785600.000, -0.040
1789200.000, -0.100
1792800.000, -0.120
1796400.000, -0.110
1800000.000, -0.080
1803600.000, -0.030
1807200.000, 0.030
1810800.000, 0.100
1814400.000, 0.140
1818000.000, 0.150
1821600.000, 0.110
1825200.000, 0.030
1828800.000, -0.050
1832400.000, -0.120
1836000.000, -0.160
1839600.000, -0.150
1843200.000, -0.120
1846800.000, -0.060
1850400.000, 0.010
1854000.000, 0.090
1857600.000, 0.150
1861200.000, 0.180
1864800.000, 0.150
1868400.000, 0.080
1872000.000, -0.010
1875600.000, -0.090
1879200.000, -0.140
1882800.000, -0.150
1886400.000, -0.130
1890000.000, -0.080
1893600.000, -0.010
1897200.000, 0.070
1900800.000, 0.170
1904400.000, 0.200
1908000.000, 0.170
1911600.000, 0.100
1915200.000, -0.010
1918800.000, -0.110
1922400.000, -0.180
1926000.000, -0.210
1929600.000, -0.200
1933200.000, -0.160
1936800.000, -0.090
1940400.000, -0.010
